Hour,Date,HourlyDryBulbTemperatureAmerillo,HourlyRelativeHumidityAmerillo,HourlyWindSpeedAmerillo,HourlyDryBulbTemperatureAustin,HourlyRelativeHumidityAustin,HourlyWindSpeedAustin,HourlyDryBulbTemperatureDallas,HourlyRelativeHumidityDallas,HourlyWindSpeedDallas,HourlyDryBulbTemperatureElPaso,HourlyRelativeHumidityElPaso,HourlyWindSpeedElPaso,HourlyDryBulbTemperatureHoustan,HourlyRelativeHumidityHoustan,HourlyWindSpeedHoustan,HourlyDryBulbTemperatureLaredo,HourlyRelativeHumidityLaredo,HourlyWindSpeedLaredo,HourlyDryBulbTemperatureOdessa,HourlyRelativeHumidityOdessa,HourlyWindSpeedOdessa,HourlyDryBulbTemperatureSanAnto,HourlyRelativeHumiditySanAnto,HourlyWindSpeedSanAnto,HourlyDryBulbTemperatureSweet,HourlyRelativeHumiditySweet,HourlyWindSpeedSweet
15,1/3/2019,43,28,16,51,56,13,39,89,10,49,35,6,47,93,10,61,35,15,54,24,22,55,45,10,43,62,11
16,1/3/2019,43,31,18,52,55,6,39,89,14,48,36,10,47,93,7,61,34,13,54,30,17,56,42,11,45,58,8
17,1/3/2019,38,44,13,52,53,7,38,89,17,47,39,10,48,86,9,61,35,8,53,28,14,57,42,6,45,56,7
18,1/3/2019,32,54,7,46,68,0,39,86,13,43,51,8,45,90,14,56,44,3,46,37,8,53,48,3,41,62,0
19,1/3/2019,32,54,9,40,83,0,38,83,17,41,55,3,44,85,13,56,44,0,42,43,11,51,54,5,39,61,0
20,1/3/2019,30,58,8,36,93,0,37,86,15,40,60,6,43,86,6,50,57,0,41,39,10,45,74,3,34,100,6
21,1/3/2019,27,63,8,37,89,0,37,82,15,35,70,6,42,89,5,46,77,0,40,43,11,42,82,3,32,100,0
22,1/3/2019,25,72,9,33,92,0,37,86,13,33,72,0,41,93,3,45,71,0,40,43,10,41,82,5,32,100,0
23,1/3/2019,27,69,8,33,96,0,36,89,14,33,70,0,40,97,3,44,79,0,37,50,10,39,82,6,32,94,0
24,1/3/2019,29,66,10,31,96,0,37,86,16,33,72,0,40,89,5,40,83,0,36,52,11,38,83,5,32,94,0
1,1/4/2019,29,66,10,35,89,0,37,86,16,29,78,5,40,89,5,42,76,0,36,52,11,36,86,3,33,85,0
2,1/4/2019,31,61,11,32,92,0,37,86,13,30,79,6,39,93,6,41,79,5,32,64,9,36,86,7,32,90,9
3,1/4/2019,30,64,15,30,96,3,37,86,17,29,75,6,37,96,5,39,82,0,34,59,11,43,68,9,32,85,9
4,1/4/2019,32,61,13,33,92,5,37,93,16,28,78,7,38,93,6,38,83,0,34,59,9,42,68,3,32,78,14
5,1/4/2019,30,66,7,35,89,3,37,89,13,28,75,6,38,93,8,37,89,0,35,57,11,40,73,5,31,76,14
6,1/4/2019,29,66,5,36,89,3,38,86,16,29,69,3,38,93,6,35,89,0,31,64,8,41,65,5,32,71,8
7,1/4/2019,30,64,6,37,79,6,37,89,10,29,66,3,39,89,3,39,82,0,31,67,9,38,70,3,31,75,14
8,1/4/2019,33,56,6,40,70,6,38,86,15,30,66,0,40,89,3,36,86,0,31,67,7,36,79,6,31,75,13
9,1/4/2019,35,59,6,44,63,7,41,73,11,35,52,3,44,83,6,43,80,0,37,54,10,43,71,6,35,70,16
10,1/4/2019,41,47,10,49,55,8,44,65,13,39,45,0,48,71,8,50,63,0,44,43,7,51,46,7,41,64,10
11,1/4/2019,46,40,9,53,48,10,47,59,14,40,49,3,50,68,10,57,53,6,51,35,3,57,33,11,47,57,10
12,1/4/2019,53,32,9,55,45,7,51,50,11,45,37,8,53,66,8,64,33,0,55,30,8,61,30,10,,,
13,1/4/2019,58,24,8,62,37,7,54,42,9,50,29,8,55,64,8,68,21,3,60,24,15,65,24,11,55,47,10
14,1/4/2019,60,21,7,65,31,5,57,33,9,51,28,6,58,60,11,70,20,5,62,21,14,67,22,7,58,36,0
15,1/4/2019,62,21,7,64,33,0,58,35,11,52,27,0,61,56,11,72,18,0,63,18,15,70,21,0,62,29,13
16,1/4/2019,63,21,3,67,31,6,59,32,9,53,27,6,61,58,9,72,17,3,63,18,11,70,23,9,63,25,10
17,1/4/2019,62,21,3,65,34,6,58,33,3,52,28,5,60,60,5,73,16,0,62,20,9,68,28,10,60,30,0
18,1/4/2019,54,28,0,56,49,0,56,36,0,47,36,5,55,69,3,64,26,5,56,27,6,63,33,6,55,41,0
19,1/4/2019,49,33,3,45,71,0,51,43,0,45,40,0,51,83,3,59,33,7,49,36,0,62,34,0,52,42,10
20,1/4/2019,47,37,5,43,74,0,48,50,0,43,45,0,50,86,5,57,39,3,43,51,0,48,66,5,49,46,10
21,1/4/2019,42,47,6,41,82,0,48,50,0,38,52,5,51,83,6,51,54,5,41,53,0,49,66,6,50,42,11
22,1/4/2019,46,40,3,40,86,0,42,68,7,38,55,0,47,97,0,52,45,5,41,53,3,47,71,5,48,44,11
23,1/4/2019,32,66,8,38,86,0,48,54,3,36,57,0,47,97,0,49,50,5,38,62,5,43,80,7,48,43,11
24,1/4/2019,34,64,9,39,89,3,40,77,8,34,61,5,45,100,0,47,52,7,36,64,8,41,79,6,48,42,10
1,1/5/2019,34,64,9,41,79,0,40,77,8,31,67,0,45,100,0,46,56,5,36,64,8,40,79,5,48,41,11
2,1/5/2019,36,59,6,38,89,6,38,79,0,30,69,0,43,100,0,45,58,0,35,64,3,40,79,3,48,40,11
3,1/5/2019,31,72,11,35,93,6,40,73,0,30,72,6,41,100,0,46,54,0,32,69,5,38,83,6,45,47,14
4,1/5/2019,33,72,10,37,89,0,38,79,3,30,72,0,40,100,0,42,68,3,34,70,0,37,86,6,43,51,11
5,1/5/2019,30,79,7,32,92,0,38,79,5,29,75,3,40,97,0,41,76,5,28,81,5,37,82,6,45,48,13
6,1/5/2019,28,81,9,41,76,5,37,82,6,26,81,0,38,100,0,41,67,5,27,85,3,37,79,3,42,52,8
7,1/5/2019,29,78,9,34,92,6,34,89,5,24,84,5,39,100,0,42,65,0,27,81,6,38,79,5,41,55,9
8,1/5/2019,27,81,9,37,82,3,37,86,0,30,69,3,40,100,0,41,73,0,27,85,7,35,85,3,40,58,13
9,1/5/2019,33,78,7,43,76,0,43,76,0,35,61,7,50,100,0,49,59,0,37,73,0,46,71,0,46,49,9
10,1/5/2019,43,58,8,54,57,3,49,64,3,41,53,5,55,77,5,56,51,0,47,50,5,55,53,0,51,45,13
11,1/5/2019,51,43,10,60,47,3,56,53,5,46,42,6,61,60,5,64,40,3,55,33,9,62,32,6,58,33,14
12,1/5/2019,60,27,16,66,37,3,62,37,5,50,36,3,65,49,8,69,36,8,61,23,13,67,24,7,62,28,11
13,1/5/2019,67,20,16,71,28,10,65,32,0,54,30,3,68,39,6,74,33,14,65,19,11,69,24,6,65,24,14
14,1/5/2019,71,16,22,72,25,11,67,31,5,57,25,6,70,34,5,76,35,13,67,18,9,71,25,11,69,19,13
15,1/5/2019,,11,23,73,24,11,69,32,6,57,24,5,72,31,3,77,33,11,68,17,10,72,26,6,70,19,9
16,1/5/2019,72,12,18,72,24,13,70,30,9,57,25,5,72,33,5,78,29,11,69,17,11,71,26,6,69,21,10
17,1/5/2019,68,15,15,70,28,8,66,37,9,56,27,5,69,36,5,77,30,11,68,17,10,70,29,9,65,28,0
18,1/5/2019,57,25,14,64,33,0,61,44,8,52,31,3,61,65,7,71,39,9,63,25,7,62,40,8,56,42,0
19,1/5/2019,52,30,13,50,66,3,57,51,8,48,36,0,58,75,8,64,52,7,57,33,6,61,41,6,53,46,10
20,1/5/2019,51,32,14,44,76,0,58,53,10,49,36,0,56,81,6,62,56,7,50,43,7,55,55,0,52,43,11
21,1/5/2019,47,39,14,41,86,0,53,66,8,44,45,3,54,87,5,60,62,5,51,44,7,52,64,3,53,41,14
22,1/5/2019,43,47,10,40,86,0,52,66,9,45,44,3,51,96,5,60,67,9,51,44,8,52,59,5,51,47,11
23,1/5/2019,44,45,9,40,86,3,51,66,6,42,51,0,50,96,5,57,78,8,52,45,11,56,55,10,50,50,11
24,1/5/2019,43,47,9,39,89,0,52,64,6,44,53,5,52,100,5,58,75,9,53,47,13,53,64,8,50,52,13
1,1/6/2019,43,47,9,49,64,3,52,64,6,44,53,3,52,100,5,57,78,9,53,47,13,46,73,3,51,52,14
2,1/6/2019,47,42,14,39,86,0,48,68,8,43,65,0,47,100,0,57,78,10,49,56,11,46,79,3,49,57,14
3,1/6/2019,45,46,13,34,97,0,48,68,7,45,66,0,43,100,0,57,81,10,49,59,9,43,86,3,53,54,18
4,1/6/2019,48,41,14,35,93,0,44,76,6,45,58,0,44,100,0,56,84,6,49,61,9,42,89,3,54,57,17
5,1/6/2019,47,44,10,36,93,0,46,71,8,45,54,6,45,100,0,56,84,8,49,64,9,43,89,3,53,60,17
6,1/6/2019,47,42,15,43,82,0,44,76,8,45,58,6,43,100,0,55,90,7,48,66,6,44,85,3,51,68,15
7,1/6/2019,46,46,20,34,100,0,46,71,11,46,51,6,45,100,0,54,90,6,45,74,5,43,89,5,52,72,14
8,1/6/2019,45,46,15,37,96,0,47,71,9,46,51,8,45,100,0,53,96,6,48,74,6,43,89,0,52,74,10
9,1/6/2019,45,48,15,43,93,0,51,66,10,47,46,9,54,100,0,60,86,11,49,77,6,47,90,3,55,74,15
10,1/6/2019,57,30,22,51,92,3,57,60,14,48,46,6,59,96,7,67,76,18,56,62,11,56,87,7,60,60,20
11,1/6/2019,63,24,22,57,90,10,59,60,18,50,43,5,68,73,9,70,71,18,60,47,14,62,78,11,62,56,22
12,1/6/2019,64,22,18,62,75,5,62,62,17,55,34,7,70,68,10,71,68,17,64,40,14,66,70,11,63,55,17
13,1/6/2019,69,16,23,66,78,16,65,56,22,58,32,10,71,66,11,76,58,18,68,30,15,69,66,16,67,45,24
14,1/6/2019,69,21,24,70,66,14,67,57,23,57,53,15,71,63,10,77,57,18,69,31,15,71,63,16,67,48,23
15,1/6/2019,71,20,25,75,54,16,65,68,18,55,80,11,72,61,14,79,52,20,67,39,15,72,61,11,67,50,21
16,1/6/2019,69,25,26,74,56,14,62,78,24,55,83,10,71,66,10,80,51,18,67,37,13,72,59,18,69,49,23
17,1/6/2019,67,26,21,72,59,15,62,78,14,56,72,15,70,68,13,78,52,17,68,39,11,71,61,10,67,57,16
18,1/6/2019,64,32,17,68,63,7,62,78,14,55,64,15,68,76,10,74,60,10,66,42,13,69,63,10,66,59,16
19,1/6/2019,62,37,15,65,76,9,61,81,10,54,59,17,65,84,13,71,66,9,63,48,8,66,70,11,65,63,17
20,1/6/2019,57,44,11,63,81,10,61,81,13,52,59,16,64,87,6,69,70,11,63,50,13,64,78,14,64,66,18
21,1/6/2019,57,51,18,62,84,13,62,80,15,51,56,11,63,90,3,69,76,14,61,54,10,64,81,13,64,68,20
22,1/6/2019,56,53,20,63,87,15,62,80,16,50,57,17,61,97,3,67,84,14,61,60,11,63,87,15,63,71,13
23,1/6/2019,54,47,24,64,90,15,61,84,16,50,57,7,60,100,7,66,87,16,60,58,10,63,90,14,62,75,16
24,1/6/2019,52,45,25,65,87,15,62,84,23,50,54,7,61,97,7,66,90,10,59,64,11,63,90,11,62,77,15
1,1/7/2019,52,45,25,64,87,9,62,84,23,44,73,5,61,97,7,65,93,9,59,64,11,63,90,10,62,77,18
2,1/7/2019,51,38,24,65,90,14,63,84,17,48,61,7,62,93,10,65,93,11,53,77,9,63,90,8,62,76,15
3,1/7/2019,48,46,24,65,90,11,63,84,16,45,71,13,62,93,9,65,93,9,55,72,10,64,90,10,58,78,10
4,1/7/2019,47,48,26,65,90,9,63,84,16,49,59,14,62,93,5,65,93,9,53,74,11,64,90,8,57,70,10
5,1/7/2019,45,52,23,66,90,10,62,86,15,48,58,15,62,93,3,65,90,0,50,68,9,63,93,5,54,71,11
6,1/7/2019,44,49,18,64,90,0,62,86,13,48,58,16,62,93,3,65,90,6,49,64,9,64,90,7,50,75,10
7,1/7/2019,40,55,10,65,93,5,61,90,8,44,68,6,62,93,5,64,93,8,44,68,6,64,90,3,50,74,10
8,1/7/2019,40,58,17,64,93,5,60,93,9,42,73,8,63,90,3,63,93,0,44,71,7,64,93,0,48,72,0
9,1/7/2019,42,53,11,65,93,7,62,86,11,46,66,7,64,90,3,65,93,3,47,66,7,65,90,0,52,58,10
10,1/7/2019,49,39,14,68,87,10,65,78,13,51,54,0,66,84,5,67,87,5,51,56,9,67,87,7,56,40,14
11,1/7/2019,52,34,16,71,79,11,69,53,13,56,33,14,68,81,9,67,87,5,57,44,10,69,78,10,58,34,9
12,1/7/2019,57,28,15,70,76,6,71,47,13,56,34,13,72,71,10,68,84,5,60,39,13,70,76,5,61,31,6
13,1/7/2019,59,25,16,74,67,7,73,37,15,59,33,9,73,69,10,70,79,6,63,35,15,72,68,3,63,28,13
14,1/7/2019,63,21,18,76,60,7,73,35,11,60,31,11,74,69,11,72,73,0,66,33,15,73,64,0,66,25,17
15,1/7/2019,65,19,20,76,60,9,73,27,11,60,27,18,74,67,7,72,73,7,68,28,14,74,60,3,67,24,17
16,1/7/2019,65,20,17,76,58,7,72,25,11,60,28,10,73,69,5,71,73,5,69,24,13,74,60,5,67,25,11
17,1/7/2019,62,24,17,74,64,8,71,24,9,57,33,8,73,69,5,72,71,5,67,26,10,72,64,7,63,31,3
18,1/7/2019,54,34,13,71,63,0,65,28,8,54,40,9,72,71,5,68,81,0,62,31,7,70,68,9,58,42,9
19,1/7/2019,49,43,13,63,87,5,64,29,6,53,41,9,71,73,6,67,81,5,55,40,3,68,73,7,55,47,9
20,1/7/2019,51,39,17,64,84,3,59,38,8,51,43,0,70,73,8,65,87,0,50,52,5,67,76,3,54,48,11
21,1/7/2019,50,41,13,58,97,5,58,42,8,49,46,0,68,78,6,63,90,3,50,50,7,67,79,5,54,51,10
22,1/7/2019,48,44,14,58,97,3,57,44,9,45,54,0,67,81,5,63,90,3,50,48,10,62,86,0,55,50,13
23,1/7/2019,42,55,9,59,96,7,55,49,11,46,54,6,65,87,5,61,93,5,53,40,10,60,90,0,52,56,6
24,1/7/2019,39,60,7,60,96,8,53,55,8,42,65,3,64,87,3,61,93,0,54,38,11,56,93,0,53,52,10
1,1/8/2019,39,60,7,59,90,0,53,55,8,42,65,5,64,87,3,58,97,0,54,38,11,55,93,3,52,53,9
2,1/8/2019,41,57,15,59,96,0,52,61,10,41,67,5,59,100,0,58,97,0,46,56,7,53,96,0,52,54,9
3,1/8/2019,41,57,9,54,100,5,51,64,8,40,68,0,57,100,0,59,96,5,46,56,3,56,93,3,50,56,11
4,1/8/2019,39,62,13,52,97,0,51,64,11,39,70,7,58,100,0,58,97,3,44,60,5,56,100,0,49,56,10
5,1/8/2019,36,62,13,58,93,0,50,66,10,41,62,7,57,100,0,57,96,3,44,60,5,57,100,0,46,64,0
6,1/8/2019,35,54,14,58,97,5,51,64,7,43,58,9,57,100,0,57,100,0,43,60,7,58,97,5,46,62,9
7,1/8/2019,32,59,11,59,96,3,50,63,6,42,60,10,56,100,0,60,96,0,42,62,5,57,96,6,46,57,9
8,1/8/2019,28,69,9,58,97,0,54,55,9,42,60,10,58,100,0,59,96,0,40,68,7,55,96,3,46,59,8
9,1/8/2019,32,61,10,59,96,0,54,55,15,44,55,9,64,100,0,60,93,0,49,50,13,57,96,3,49,52,11
10,1/8/2019,37,50,11,62,93,0,54,53,13,47,50,11,69,87,6,,90,,54,42,15,64,84,6,52,41,18
11,1/8/2019,44,35,18,69,76,3,55,55,13,49,46,10,73,76,7,69,84,0,56,39,15,70,76,3,53,36,17
12,1/8/2019,46,30,16,72,57,3,60,46,13,52,41,7,75,71,0,70,84,0,56,39,14,75,62,6,54,34,16
13,1/8/2019,49,27,17,76,48,5,64,29,18,53,40,7,77,66,5,70,84,5,57,33,11,76,50,5,53,35,16
14,1/8/2019,49,26,16,77,43,5,64,26,17,55,37,9,76,64,6,70,82,6,58,31,9,77,45,7,56,29,18
15,1/8/2019,50,24,14,77,43,3,66,25,20,56,36,9,78,56,3,74,71,5,58,29,17,75,60,6,56,28,18
16,1/8/2019,50,24,13,76,45,6,65,26,14,57,34,7,75,66,6,76,67,6,56,30,11,75,60,8,54,30,13
17,1/8/2019,48,24,7,72,44,20,61,26,17,56,36,7,73,74,7,74,69,6,57,29,15,71,76,9,53,32,13
18,1/8/2019,43,31,6,67,44,7,57,37,11,55,38,6,70,82,6,71,76,7,53,32,15,67,81,7,51,37,11
19,1/8/2019,40,36,6,63,52,9,55,37,13,53,41,6,69,87,6,69,81,8,51,33,14,69,53,9,49,36,11
20,1/8/2019,36,44,6,59,62,7,52,43,13,51,39,9,68,87,6,68,84,9,50,33,11,67,45,13,47,44,7
21,1/8/2019,35,46,6,62,52,10,52,40,14,52,32,9,65,90,0,67,84,10,49,35,13,64,46,8,45,51,7
22,1/8/2019,34,46,8,60,56,10,52,37,16,51,32,8,64,93,6,67,84,9,48,37,9,62,50,8,43,54,7
23,1/8/2019,31,52,7,60,50,14,51,39,13,51,31,9,63,87,6,66,87,8,46,42,8,61,50,10,42,57,7
24,1/8/2019,31,54,3,59,42,16,47,48,10,49,33,5,62,84,6,65,90,8,46,42,11,60,52,10,41,60,7
1,1/9/2019,31,54,3,58,36,8,47,48,10,47,34,8,62,84,6,65,90,9,46,42,11,59,48,11,41,61,8
2,1/9/2019,31,52,5,56,39,17,46,51,10,46,35,6,60,90,7,65,87,14,45,44,11,58,42,13,40,64,7
3,1/9/2019,30,51,7,54,42,11,46,50,13,44,40,5,58,90,7,64,60,21,44,45,14,57,37,16,41,60,9
4,1/9/2019,26,60,8,52,45,13,45,54,9,43,43,0,56,90,9,62,58,16,44,45,5,55,38,14,41,61,9
5,1/9/2019,24,65,7,51,44,13,44,55,8,42,45,6,55,77,9,61,58,17,43,49,7,54,38,13,40,62,7
6,1/9/2019,26,63,7,50,39,8,43,60,8,41,49,5,55,64,9,59,60,16,43,49,9,53,38,13,40,63,6
7,1/9/2019,24,68,9,52,38,15,42,62,6,41,51,5,54,57,14,58,56,16,42,51,9,51,39,11,39,65,3
8,1/9/2019,23,72,8,51,41,17,43,56,6,43,47,3,53,55,13,57,53,16,42,51,10,51,38,15,40,64,0
9,1/9/2019,30,66,8,54,40,15,45,49,8,45,44,3,55,47,13,58,50,17,43,49,14,53,35,14,41,61,7
10,1/9/2019,39,50,13,56,39,17,47,42,9,48,39,5,56,42,17,58,48,15,46,44,10,54,35,11,43,50,10
11,1/9/2019,43,38,16,57,39,17,49,39,8,50,35,3,59,38,14,59,49,9,49,39,11,57,33,16,45,43,8
12,1/9/2019,47,30,16,58,33,7,56,21,14,52,32,11,60,36,13,59,49,6,50,33,11,59,31,11,47,35,9
13,1/9/2019,50,26,18,60,36,14,57,23,10,51,35,11,62,37,10,60,47,7,50,30,13,61,30,13,49,33,8
14,1/9/2019,52,23,25,61,35,14,58,20,10,52,34,8,64,35,13,62,48,6,50,33,9,63,30,9,51,30,6
15,1/9/2019,53,23,22,61,35,13,59,20,11,54,33,9,64,34,11,64,46,8,50,36,9,63,30,5,53,29,0
